scenario_label,task,stage,failure_reason,arm,count
Sebelum improvements,separate_groups,pick,pick,,6
Sebelum improvements,align_cubes,pick,pick,,2
Sesudah improvements,separate_groups,pick,pick,,4
Sesudah improvements,align_cubes,pick,pick,,2
Two arm,separate_groups_two_arm,pick,pick,left,3
Two arm,separate_groups_two_arm,pick,pick,right,3
Two arm,separate_groups_two_arm,precheck,no_arm_passed_minimum_validator,,2
Two arm,separate_groups_two_arm,precheck,object_near_obstacle_safety_skip,,2
Two arm,separate_groups_two_arm,place,place,left,1
Two arm,separate_groups_two_arm,place,place,right,1
Two arm,separate_groups_two_arm,precheck,object_too_close_to_obstacle,,1
