section,milestone,scope,task,scene,moved,total,rate,note,file,label
progress,Refactor 1,cubes group_no_obs,,,3,4,0.75,baseline: far cube pick failed,align_cubes_group_no_obs_20260526_232400.csv,"Refactor 1
cubes group_no_obs"
progress,Refactor 1,tabung group_no_obs,,,2,4,0.5,baseline: far cylinders failed pick,align_tabung_group_no_obs_20260526_231404.csv,"Refactor 1
tabung group_no_obs"
progress,Refactor 2,cubes group_no_obs,,,4,4,1.0,Pinocchio base-frame + grasp fix,align_cubes_group_no_obs_20260527_204557.csv,"Refactor 2
cubes group_no_obs"
progress,Refactor 2,cubes ungroup_no_obs,,,4,4,1.0,target ordering + object guard,align_cubes_ungroup_no_obs_20260527_205745.csv,"Refactor 2
cubes ungroup_no_obs"
progress,Refactor 2,tabung group_no_obs,,,4,4,1.0,candidate retry + cylinder guard,align_tabung_group_no_obs_20260527_204857.csv,"Refactor 2
tabung group_no_obs"
progress,Refactor 2,tabung ungroup_no_obs,,,4,4,1.0,candidate retry + cylinder guard,align_tabung_ungroup_no_obs_20260527_205443.csv,"Refactor 2
tabung ungroup_no_obs"
progress,Refactor 3 baseline,cubes group_obs,,,1,4,0.25,NEAR skip + place slip near obstacle,align_cubes_group_obs_20260527_215406.csv,"Refactor 3 baseline
cubes group_obs"
progress,Refactor 3 baseline,tabung group_obs,,,1,4,0.25,NEAR skip + cylinder displaced,align_tabung_group_obs_20260527_205059.csv,"Refactor 3 baseline
tabung group_obs"
progress,Refactor 3,cubes group_obs,,,4,4,1.0,challenging diagonal obstacle + cautious obs execution,align_cubes_group_obs_20260528_215316.csv,"Refactor 3
cubes group_obs"
progress,Refactor 3,cubes ungroup_obs,,,4,4,1.0,challenging diagonal obstacle + cautious obs execution,align_cubes_ungroup_obs_20260528_214730.csv,"Refactor 3
cubes ungroup_obs"
progress,Refactor 3,tabung group_obs,,,4,4,1.0,challenging diagonal obstacle + cylinder retry restore,align_tabung_group_obs_20260528_215541.csv,"Refactor 3
tabung group_obs"
progress,Refactor 3,tabung ungroup_obs,,,4,4,1.0,challenging diagonal obstacle + cylinder retry restore,align_tabung_ungroup_obs_20260528_215042.csv,"Refactor 3
tabung ungroup_obs"
